dataset,param_tag,root_features_dropped,tgb_acc_baseline,tgb_acc_ablated,gosdt_acc_baseline,gosdt_acc_ablated,overlap_baseline,overlap_ablated
compas,nest200_depth2,priors_count,0.6837916063675832,0.6287988422575976,0.6772793053545586,0.613603473227207,0.6666666666666666,1.0
compas,nest200_depth3,priors_count,0.6837916063675832,0.6287988422575976,0.6765557163531114,0.625904486251809,0.6666666666666666,1.0
compas,nest20_depth1,priors_count,0.6693198263386396,0.605643994211288,0.6685962373371924,0.605643994211288,1.0,1.0
compas,nest20_depth2,priors_count,0.6816208393632417,0.605643994211288,0.6693198263386396,0.605643994211288,1.0,1.0
compas,nest20_depth3,priors_count,0.6758321273516642,0.6063675832127352,0.6772793053545586,0.6063675832127352,0.6666666666666666,1.0
compas,nest25_depth1,priors_count,0.678726483357453,0.605643994211288,0.6700434153400868,0.605643994211288,1.0,1.0
compas,nest25_depth2,priors_count,0.6816208393632417,0.605643994211288,0.6693198263386396,0.605643994211288,1.0,1.0
compas,nest25_depth3,priors_count,0.6881331403762663,0.6280752532561505,0.6772793053545586,0.6295224312590448,0.6666666666666666,1.0
compas,nest30_depth1,priors_count,0.678726483357453,0.605643994211288,0.6700434153400868,0.605643994211288,1.0,1.0
compas,nest30_depth2,priors_count,0.6816208393632417,0.605643994211288,0.6693198263386396,0.605643994211288,1.0,1.0
compas,nest30_depth3,priors_count,0.6837916063675832,0.6287988422575976,0.6758321273516642,0.6295224312590448,0.6666666666666666,1.0
compas,nest35_depth1,priors_count,0.678726483357453,0.605643994211288,0.6700434153400868,0.605643994211288,1.0,1.0
compas,nest35_depth2,priors_count,0.6866859623733719,0.61794500723589,0.6743849493487699,0.6107091172214182,0.6666666666666666,1.0
compas,nest35_depth3,priors_count,0.6852387843704776,0.6287988422575976,0.6772793053545586,0.6295224312590448,0.6666666666666666,1.0
compas,nest40_depth1,priors_count,0.683068017366136,0.605643994211288,0.6714905933429812,0.605643994211288,1.0,1.0
compas,nest40_depth2,priors_count,0.6816208393632417,0.605643994211288,0.6693198263386396,0.605643994211288,1.0,1.0
compas,nest40_depth3,priors_count,0.6866859623733719,0.630246020260492,0.6758321273516642,0.625904486251809,0.6666666666666666,1.0
compas,nest5_depth2,priors_count,0.6729377713458755,0.5636758321273516,0.6729377713458755,0.5636758321273516,1.0,1.0
compas,nest5_depth3,priors_count,0.6772793053545586,0.6063675832127352,0.6743849493487699,0.6063675832127352,0.6666666666666666,1.0
creditcard_fraud,nest100_depth2,V17,0.9983673326077034,0.9993153330290369,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest100_depth3,V17,0.9983673326077034,0.9982619992275552,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest10_depth2,V17,0.9983673326077034,0.9993153330290369,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest10_depth3,V17,0.9983673326077034,0.9982795547909132,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest15_depth2,V17,0.9983673326077034,0.9993153330290369,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest15_depth3,V17,0.9983497770443454,0.9982795547909132,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest200_depth2,V17,0.9983673326077034,0.9993153330290369,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest200_depth3,V17,0.9983673326077034,0.9982619992275552,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest20_depth2,V17,0.9983673326077034,0.9993153330290369,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest20_depth3,V17,0.9983673326077034,0.9982795547909132,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest25_depth2,V17,0.9983673326077034,0.9993153330290369,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest25_depth3,V17,0.9983673326077034,0.9982619992275552,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest30_depth2,V17,0.9983673326077034,0.9993153330290369,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest30_depth3,V17,0.9983673326077034,0.9982619992275552,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest35_depth2,V17,0.9983673326077034,0.9993153330290369,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest35_depth3,V17,0.9983673326077034,0.9982619992275552,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest40_depth2,V17,0.9983673326077034,0.9993153330290369,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest40_depth3,V17,0.9983673326077034,0.9982619992275552,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest5_depth2,V17,0.9983673326077034,0.9993153330290369,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest5_depth3,V17,0.9983673326077034,0.9982795547909132,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud_smote,nest100_depth1,V14,0.9585847594552709,0.9468900100020884,0.9493520625185479,0.9377452435123818,0.5714285714285714,0.42857142857142855
creditcard_fraud_smote,nest100_depth2,V14,0.9634868818764357,0.9585188116200086,0.9316890339741265,0.9134654488299755,0.3333333333333333,0.4
creditcard_fraud_smote,nest10_depth1,V14,0.9252041635066662,0.8801947659401413,0.9252041635066662,0.8801947659401413,1.0,1.0
creditcard_fraud_smote,nest10_depth2,V14,0.9373055912772996,0.9283256943757487,0.9370088260186192,0.9267869115529616,0.8,0.6666666666666666
creditcard_fraud_smote,nest10_depth3,V14,0.9558918895153933,0.943372792121432,0.9505720974709005,0.9369318868774799,0.5,0.8
creditcard_fraud_smote,nest15_depth1,V14,0.9311834339037821,0.9039030127169408,0.9317110165858805,0.9040129257757115,1.0,1.0
creditcard_fraud_smote,nest15_depth2,V14,0.9500994713181873,0.9407568613226938,0.9435706356272189,0.9368329651245865,0.8333333333333334,0.8
creditcard_fraud_smote,nest15_depth3,V14,0.9579142897967707,0.9497587408359988,0.9507919235884416,0.9414932788164562,0.625,0.5714285714285714
creditcard_fraud_smote,nest20_depth1,V14,0.9310955034567657,0.902441169035293,0.9316340774447412,0.9025510820940637,1.0,1.0
creditcard_fraud_smote,nest20_depth2,V14,0.9535067761400732,0.945746914190875,0.9472966883195393,0.9404051395346281,0.7142857142857143,0.5
creditcard_fraud_smote,nest20_depth3,V14,0.958837559490443,0.9495169321067036,0.9336674690319957,0.9224563370374034,0.42857142857142855,0.25
creditcard_fraud_smote,nest25_depth1,V14,0.9439443400270386,0.9226981457666985,0.9420758180279399,0.9225552587902969,1.0,1.0
creditcard_fraud_smote,nest25_depth2,V14,0.9553643068332949,0.9480660797309328,0.9472966883195393,0.9405700091227839,0.7142857142857143,0.5
creditcard_fraud_smote,nest25_depth3,V14,0.9593981160901727,0.9497037843066135,0.9316230861388641,0.9272265637880437,0.3333333333333333,0.5
creditcard_fraud_smote,nest30_depth1,V14,0.9440102878623009,0.92302788494301,0.9394598872292017,0.9222694848374935,1.0,1.0
creditcard_fraud_smote,nest30_depth2,V14,0.9559248634330245,0.9471867752607688,0.9472966883195393,0.9388553654059639,0.7142857142857143,0.6666666666666666
creditcard_fraud_smote,nest30_depth3,V14,0.9595849682900826,0.9531660456578847,0.9316340774447412,0.9273694507644453,0.3333333333333333,0.5
creditcard_fraud_smote,nest35_depth1,V14,0.945527088073334,0.9239951198601906,0.9424275398160056,0.9244127894835186,1.0,1.0
creditcard_fraud_smote,nest35_depth2,V14,0.9574856288675657,0.9512865323529088,0.9392290698057836,0.9476484101076049,0.5714285714285714,0.4444444444444444
creditcard_fraud_smote,nest35_depth3,V14,0.9607170727954188,0.9529791934579748,0.9316230861388641,0.9138281619239181,0.3333333333333333,0.4
creditcard_fraud_smote,nest40_depth1,V14,0.9441202009210714,0.9233905980369528,0.9420758180279399,0.922808058825469,1.0,1.0
creditcard_fraud_smote,nest40_depth2,V14,0.9589914377727218,0.9510667062353678,0.9332278167969137,0.9484397841307526,0.5,0.4444444444444444
creditcard_fraud_smote,nest40_depth3,V14,0.9607830206306811,0.9561666721623197,0.9316230861388641,0.9138281619239181,0.3333333333333333,0.4
creditcard_fraud_smote,nest5_depth2,V14,0.9292929292929293,0.8467811960739056,0.9289302161989866,0.8467811960739056,1.0,1.0
creditcard_fraud_smote,nest5_depth3,V14,0.9524516107758763,0.934370912608127,0.9475384970488344,0.9306778338334377,0.5,0.6
diabetes,nest100_depth1,number_inpatient,0.6333398840522747,0.6050899086174708,0.6258229340670138,0.5968851331433624,0.5,0.7142857142857143
diabetes,nest100_depth2,number_inpatient,0.6378598801218434,0.6122138154662474,0.6243981526972585,0.5957060037339098,0.3,0.6666666666666666
diabetes,nest100_depth3,number_inpatient,0.6383020536503882,0.6111329468409158,0.6227277193672005,0.5841112312076251,0.5,0.375
diabetes,nest10_depth2,num_medications,0.7,0.6833333333333333,0.7833333333333333,0.6833333333333333,0.6153846153846154,0.6
diabetes,nest10_depth3,num_medications,0.7333333333333333,0.7166666666666667,0.7333333333333333,0.7,0.4666666666666667,0.5454545454545454
diabetes,nest15_depth1,num_medications,0.6333333333333333,0.6166666666666667,0.6333333333333333,0.6166666666666667,1.0,1.0
diabetes,nest15_depth2,num_medications,0.6833333333333333,0.6833333333333333,0.7833333333333333,0.6833333333333333,0.6153846153846154,0.6
diabetes,nest15_depth3,num_medications,0.7166666666666667,0.7166666666666667,0.7333333333333333,0.7,0.5714285714285714,0.5
diabetes,nest200_depth1,number_inpatient,0.6368772722806328,0.6091677311584947,0.624349022305198,0.5953620909894861,0.4,0.7
diabetes,nest200_depth2,number_inpatient,0.6378598801218434,0.6117225115456422,0.6227277193672005,0.5841112312076251,0.5,0.375
diabetes,nest200_depth3,number_inpatient,0.6375650977694802,0.6099538174314632,0.6227277193672005,0.5841112312076251,0.5,0.375
diabetes,nest20_depth1,num_medications,0.6333333333333333,0.6166666666666667,0.6333333333333333,0.6166666666666667,1.0,1.0
diabetes,nest20_depth2,num_medications,0.7,0.6833333333333333,0.7,0.6833333333333333,0.5714285714285714,0.6363636363636364
diabetes,nest20_depth3,num_medications,0.6833333333333333,0.7166666666666667,0.7333333333333333,0.7,0.5714285714285714,0.6363636363636364
diabetes,nest25_depth1,num_medications,0.65,0.6333333333333333,0.65,0.6333333333333333,1.0,1.0
diabetes,nest25_depth2,num_medications,0.7,0.6666666666666666,0.7,0.6666666666666666,0.5714285714285714,0.35714285714285715
diabetes,nest25_depth3,num_medications,0.6833333333333333,0.7,0.7166666666666667,0.7166666666666667,0.4375,0.5454545454545454
diabetes,nest30_depth1,num_medications,0.6833333333333333,0.6166666666666667,0.65,0.6333333333333333,0.8333333333333334,0.8
diabetes,nest30_depth2,num_medications,0.6833333333333333,0.65,0.6833333333333333,0.6666666666666666,0.3888888888888889,0.42857142857142855
diabetes,nest30_depth3,num_medications,0.7166666666666667,0.65,0.7166666666666667,0.7,0.3157894736842105,0.5384615384615384
diabetes,nest35_depth1,num_medications,0.6333333333333333,0.5833333333333334,0.6333333333333333,0.6,0.8571428571428571,0.5714285714285714
diabetes,nest35_depth2,num_medications,0.6833333333333333,0.6666666666666666,0.6833333333333333,0.6666666666666666,0.3888888888888889,0.3333333333333333
diabetes,nest35_depth3,num_medications,0.7166666666666667,0.6833333333333333,0.6833333333333333,0.7166666666666667,0.2777777777777778,0.5
diabetes,nest40_depth1,number_inpatient,0.6253807605384691,0.5863220988503488,0.6239559791687138,0.5863220988503488,0.8,1.0
diabetes,nest40_depth2,number_inpatient,0.6358455340473617,0.6057777341063182,0.6271003242605876,0.5957060037339098,0.5555555555555556,0.6666666666666666
diabetes,nest40_depth3,number_inpatient,0.6375650977694802,0.6112312076250368,0.6271003242605876,0.5871573155153779,0.5555555555555556,0.45454545454545453
diabetes,nest5_depth2,num_medications,0.55,0.6,0.55,0.6,1.0,1.0
diabetes,nest5_depth3,num_medications,0.7166666666666667,0.7333333333333333,0.7333333333333333,0.7,0.6153846153846154,0.6
diabetes_smote,nest100_depth1,number_inpatient,0.6326251637523495,0.6060260864612406,0.6125192231018967,0.5854075297602096,0.5,0.6666666666666666
diabetes_smote,nest100_depth2,number_inpatient,0.6330238651250214,0.615879706100131,0.6128040097966623,0.5726490858347097,0.5714285714285714,0.4166666666666667
diabetes_smote,nest100_depth3,number_inpatient,0.6325112490744432,0.6128040097966623,0.6010707979723188,0.553454462607507,0.6,0.2857142857142857
diabetes_smote,nest10_depth2,number_inpatient,0.5993051204647719,0.5656433331434756,0.5984507603804751,0.5656433331434756,0.6666666666666666,1.0
diabetes_smote,nest10_depth3,number_inpatient,0.6123483510850373,0.5801674545765222,0.6073361052571624,0.5777182890015379,0.5,1.0
diabetes_smote,nest15_depth2,number_inpatient,0.6120066070513186,0.5801674545765222,0.6073361052571624,0.5777182890015379,0.5,0.8333333333333334
diabetes_smote,nest15_depth3,number_inpatient,0.6259041977558808,0.6027225608019593,0.6075069772740218,0.5795409238480378,0.5714285714285714,0.7142857142857143
