dataset,param_tag,root_features_dropped,tgb_acc_baseline,tgb_acc_ablated,praxis_acc_baseline,praxis_acc_ablated,overlap_baseline,overlap_ablated
compas,nest5_depth2,priors_count,0.6729377713458755,0.5636758321273516,0.6548480463096961,0.5636758321273516,1.0,1.0
compas,nest5_depth3,priors_count,0.6772793053545586,0.6063675832127352,0.6548480463096961,0.605643994211288,1.0,1.0
creditcard_fraud,nest100_depth2,V17,0.9983673326077034,0.9993153330290369,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest100_depth3,V17,0.9983673326077034,0.9982619992275552,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest10_depth2,V17,0.9983673326077034,0.9993153330290369,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest10_depth3,V17,0.9983673326077034,0.9982795547909132,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest15_depth2,V17,0.9983673326077034,0.9993153330290369,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest15_depth3,V17,0.9983497770443454,0.9982795547909132,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest200_depth2,V17,0.9983673326077034,0.9993153330290369,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest200_depth3,V17,0.9983673326077034,0.9982619992275552,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest20_depth2,V17,0.9983673326077034,0.9993153330290369,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest20_depth3,V17,0.9983673326077034,0.9982795547909132,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest25_depth2,V17,0.9983673326077034,0.9993153330290369,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest25_depth3,V17,0.9983673326077034,0.9982619992275552,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest30_depth2,V17,0.9983673326077034,0.9993153330290369,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest30_depth3,V17,0.9983673326077034,0.9982619992275552,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest35_depth2,V17,0.9983673326077034,0.9993153330290369,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest35_depth3,V17,0.9983673326077034,0.9982619992275552,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest40_depth2,V17,0.9983673326077034,0.9993153330290369,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest40_depth3,V17,0.9983673326077034,0.9982619992275552,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest5_depth2,V17,0.9983673326077034,0.9993153330290369,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud,nest5_depth3,V17,0.9983673326077034,0.9982795547909132,0.9982795547909132,0.9982795547909132,0.0,0.0
creditcard_fraud_oversampled,nest100_depth1,V14,0.9622888295358372,0.9615524120420748,0.9213462151438212,0.9182027016629846,0.2,0.4
creditcard_fraud_oversampled,nest100_depth2,V14,0.9720271265429046,0.9668941866983216,0.9213462151438212,0.9318758861740364,0.2,0.42857142857142855
creditcard_fraud_oversampled,nest100_depth3,V14,0.9727745353425441,0.9662456996515756,0.9213462151438212,0.9318758861740364,0.2,0.42857142857142855
creditcard_fraud_oversampled,nest10_depth1,V14,0.9271496246469043,0.8845253404556995,0.9213462151438212,0.8845253404556995,0.5,1.0
creditcard_fraud_oversampled,nest10_depth2,V14,0.9435376617095877,0.9341730691023401,0.9213462151438212,0.9182027016629846,0.2,0.5
creditcard_fraud_oversampled,nest10_depth3,V14,0.9558039590683769,0.9540233675162946,0.9213462151438212,0.9199173453798046,0.16666666666666666,0.4
creditcard_fraud_oversampled,nest15_depth1,V14,0.9388993306294721,0.919367780085952,0.9213462151438212,0.9123883008540244,0.25,0.6666666666666666
creditcard_fraud_oversampled,nest15_depth2,V14,0.9487145667776788,0.9379980435475539,0.9213462151438212,0.9193128235565667,0.2,0.5
creditcard_fraud_oversampled,nest15_depth3,V14,0.9638276123586244,0.9563095591387213,0.9213462151438212,0.9306668425275607,0.2,0.2857142857142857
creditcard_fraud_oversampled,nest200_depth1,V14,0.9687517173915433,0.9631461513942472,0.9213462151438212,0.9182027016629846,0.16666666666666666,0.4
creditcard_fraud_oversampled,nest20_depth1,V14,0.9439992965564239,0.9309636077862411,0.9213462151438212,0.9123883008540244,0.25,0.6666666666666666
creditcard_fraud_oversampled,nest20_depth2,V14,0.9566942548444181,0.9549026719864587,0.9213462151438212,0.9199173453798046,0.2,0.4
creditcard_fraud_oversampled,nest20_depth3,V14,0.9648827777228213,0.9575845506204592,0.9213462151438212,0.9306668425275607,0.2,0.2857142857142857
creditcard_fraud_oversampled,nest25_depth1,V14,0.9432958529802926,0.9309636077862411,0.9213462151438212,0.9123883008540244,0.25,0.6666666666666666
creditcard_fraud_oversampled,nest25_depth2,V14,0.948967366812851,0.9417790527692596,0.9213462151438212,0.9182027016629846,0.25,0.5
creditcard_fraud_oversampled,nest25_depth3,V14,0.9662456996515756,0.9620030555830338,0.9213462151438212,0.9318758861740364,0.2,0.42857142857142855
creditcard_fraud_oversampled,nest30_depth1,V14,0.9484837493542608,0.935228234466537,0.9213462151438212,0.9247755025774612,0.2,0.75
creditcard_fraud_oversampled,nest30_depth2,V14,0.961618359877337,0.9591343247491234,0.9213462151438212,0.9318758861740364,0.2,0.5
