n_estimators,max_depth,Model,Feature,Threshold (≤),Train AUC,Test AUC,Train-Test gap
10,2,TGB,V17,-3.16164493560791,0.8247,0.8467,-0.022
25,3,TGB,V17,-3.135411858558655,0.8247,0.8467,-0.022
200,2,TGB,V17,-3.16164493560791,0.8247,0.8467,-0.022
10,3,TGB,V17,-3.1761386394500732,0.8222,0.8467,-0.0245
35,3,TGB,V17,-3.1761386394500732,0.8222,0.8467,-0.0245
15,2,TGB,V17,-3.0959043502807617,0.8247,0.8467,-0.022
100,3,TGB,V17,-3.050985336303711,0.8273,0.8467,-0.0195
200,3,TGB,V17,-3.050985336303711,0.8273,0.8467,-0.0195
200,3,TGB,V17,-3.135411858558655,0.8247,0.8467,-0.022
25,3,TGB,V17,-3.050985336303711,0.8273,0.8467,-0.0195
15,3,TGB,V17,-3.1761386394500732,0.8222,0.8467,-0.0245
20,3,TGB,V17,-3.135411858558655,0.8247,0.8467,-0.022
15,3,TGB,V17,-3.0691652297973633,0.8273,0.8467,-0.0195
25,3,TGB,V17,-3.1761386394500732,0.8222,0.8467,-0.0245
20,3,TGB,V17,-3.050985336303711,0.8273,0.8467,-0.0195
15,3,TGB,V17,-3.135411858558655,0.8247,0.8467,-0.022
20,3,TGB,V17,-3.1761386394500732,0.8222,0.8467,-0.0245
20,2,TGB,V17,-3.0959043502807617,0.8247,0.8467,-0.022
25,2,TGB,V17,-3.16164493560791,0.8247,0.8467,-0.022
25,2,TGB,V17,-3.0959043502807617,0.8247,0.8467,-0.022
35,2,TGB,V17,-3.326195001602173,0.8171,0.8416,-0.0245
25,2,TGB,V17,-3.326195001602173,0.8171,0.8416,-0.0245
30,3,TGB,V17,-3.326195001602173,0.8171,0.8416,-0.0245
35,3,TGB,V17,-3.326195001602173,0.8171,0.8416,-0.0245
15,3,TGB,V17,-3.326195001602173,0.8171,0.8416,-0.0245
200,2,TGB,V17,-3.326195001602173,0.8171,0.8416,-0.0245
10,2,TGB,V17,-3.326195001602173,0.8171,0.8416,-0.0245
40,2,TGB,V17,-3.326195001602173,0.8171,0.8416,-0.0245
40,3,TGB,V17,-3.326195001602173,0.8171,0.8416,-0.0245
20,2,TGB,V17,-3.326195001602173,0.8171,0.8416,-0.0245
25,3,TGB,V17,-3.326195001602173,0.8171,0.8416,-0.0245
10,3,TGB,V17,-3.326195001602173,0.8171,0.8416,-0.0245
100,3,TGB,V17,-3.326195001602173,0.8171,0.8416,-0.0245
5,2,TGB,V17,-3.326195001602173,0.8171,0.8416,-0.0245
30,2,TGB,V17,-3.326195001602173,0.8171,0.8416,-0.0245
5,3,TGB,V17,-3.326195001602173,0.8171,0.8416,-0.0245
100,2,TGB,V17,-3.326195001602173,0.8171,0.8416,-0.0245
20,3,TGB,V17,-3.326195001602173,0.8171,0.8416,-0.0245
200,3,TGB,V17,-3.326195001602173,0.8171,0.8416,-0.0245
15,2,TGB,V17,-3.326195001602173,0.8171,0.8416,-0.0245
,,XGBoost,V17,2.3044,0.8011,0.8369,-0.0358
100,3,TGB,V17,-3.398912787437439,0.8146,0.8365,-0.0219
10,3,TGB,V17,-3.398912787437439,0.8146,0.8365,-0.0219
